config,attack_type,section,device_category,recall_at_5,mrr,retrieved_doc_ids
dense,mirai_ack,longer_term_remediation,thermostat,0.0,0.0,mirai-ack-flood|iot-immediate-containment|mirai-ack-flood|mirai-family-overview|mirai-syn-flood
dense,mirai_ack,longer_term_remediation,baby_monitor,0.0,0.0,mirai-ack-flood|mirai-ack-flood|mirai-scan|mirai-family-overview|mirai-udp-flood
dense,mirai_ack,longer_term_remediation,security_camera,0.25,0.25,mirai-ack-flood|mirai-ack-flood|mirai-family-overview|device-security-camera-profile|mirai-family-overview
dense,mirai_ack,longer_term_remediation,webcam,0.25,0.5,mirai-ack-flood|device-webcam-profile|mirai-family-overview|mirai-ack-flood|device-security-camera-profile
dense,mirai_syn,threat_assessment,doorbell,0.6666666666666666,1.0,mirai-syn-flood|mirai-udp-flood|mirai-scan|mirai-ack-flood|device-doorbell-profile
dense,mirai_syn,threat_assessment,thermostat,0.6666666666666666,1.0,mirai-syn-flood|mirai-udp-flood|mirai-ack-flood|mirai-family-overview|mirai-udpplain-flood
dense,mirai_syn,threat_assessment,baby_monitor,0.6666666666666666,1.0,mirai-syn-flood|mirai-scan|mirai-udp-flood|mirai-ack-flood|mirai-family-overview
dense,mirai_syn,threat_assessment,security_camera,0.6666666666666666,1.0,mirai-syn-flood|mirai-udp-flood|mirai-scan|mirai-ack-flood|mirai-family-overview
dense,mirai_syn,threat_assessment,webcam,0.6666666666666666,1.0,mirai-syn-flood|mirai-udp-flood|mirai-ack-flood|mirai-scan|mirai-family-overview
dense,mirai_syn,attack_mechanism,doorbell,0.5,1.0,mirai-syn-flood|mirai-udp-flood|mirai-ack-flood|mirai-scan|mirai-family-overview
dense,mirai_syn,attack_mechanism,thermostat,0.5,1.0,mirai-syn-flood|mirai-udp-flood|mirai-family-overview|mirai-ack-flood|mirai-syn-flood
dense,mirai_syn,attack_mechanism,baby_monitor,0.5,1.0,mirai-syn-flood|mirai-scan|mirai-udp-flood|mirai-family-overview|mirai-ack-flood
dense,mirai_syn,attack_mechanism,security_camera,0.5,1.0,mirai-syn-flood|mirai-udp-flood|mirai-family-overview|mirai-ack-flood|mirai-scan
dense,mirai_syn,attack_mechanism,webcam,0.5,1.0,mirai-syn-flood|mirai-udp-flood|mirai-ack-flood|mirai-family-overview|device-security-camera-profile
dense,mirai_syn,observable_indicators,doorbell,0.5,1.0,mirai-syn-flood|mirai-udp-flood|mirai-udp-flood|device-doorbell-profile|mirai-ack-flood
dense,mirai_syn,observable_indicators,thermostat,0.5,1.0,mirai-syn-flood|mirai-udp-flood|mirai-family-overview|mirai-ack-flood|mirai-udp-flood
dense,mirai_syn,observable_indicators,baby_monitor,0.5,1.0,mirai-syn-flood|mirai-udp-flood|mirai-family-overview|mirai-scan|mirai-ack-flood
dense,mirai_syn,observable_indicators,security_camera,0.5,1.0,mirai-syn-flood|mirai-udp-flood|mirai-family-overview|mirai-ack-flood|mirai-scan
dense,mirai_syn,observable_indicators,webcam,0.5,1.0,mirai-syn-flood|mirai-udp-flood|mirai-family-overview|mirai-ack-flood|mirai-udpplain-flood
dense,mirai_syn,immediate_actions,doorbell,0.0,0.0,mirai-syn-flood|mirai-scan|mirai-udp-flood|mirai-ack-flood|mirai-scan
dense,mirai_syn,immediate_actions,thermostat,0.5,0.3333333333333333,mirai-syn-flood|mirai-udp-flood|iot-immediate-containment|mirai-ack-flood|mirai-family-overview
dense,mirai_syn,immediate_actions,baby_monitor,0.0,0.0,mirai-syn-flood|mirai-scan|mirai-udp-flood|mirai-ack-flood|mirai-family-overview
dense,mirai_syn,immediate_actions,security_camera,0.0,0.0,mirai-syn-flood|mirai-udp-flood|mirai-ack-flood|mirai-family-overview|mirai-scan
dense,mirai_syn,immediate_actions,webcam,0.0,0.0,mirai-syn-flood|mirai-udp-flood|mirai-ack-flood|mirai-family-overview|device-security-camera-profile
dense,mirai_syn,longer_term_remediation,doorbell,0.25,0.5,mirai-syn-flood|device-doorbell-profile|mirai-family-overview|mirai-udp-flood|mirai-scan
dense,mirai_syn,longer_term_remediation,thermostat,0.0,0.0,mirai-syn-flood|iot-immediate-containment|mirai-family-overview|mirai-family-overview|mirai-udp-flood
dense,mirai_syn,longer_term_remediation,baby_monitor,0.0,0.0,mirai-syn-flood|mirai-family-overview|mirai-scan|mirai-family-overview|mirai-udp-flood
dense,mirai_syn,longer_term_remediation,security_camera,0.0,0.0,mirai-syn-flood|mirai-family-overview|mirai-family-overview|mirai-udp-flood|mirai-ack-flood
dense,mirai_syn,longer_term_remediation,webcam,0.0,0.0,mirai-syn-flood|mirai-family-overview|mirai-udp-flood|mirai-family-overview|device-security-camera-profile
dense,mirai_udp,threat_assessment,doorbell,0.3333333333333333,1.0,mirai-udp-flood|mirai-udpplain-flood|mirai-scan|mirai-ack-flood|mirai-syn-flood
dense,mirai_udp,threat_assessment,thermostat,0.3333333333333333,1.0,mirai-udp-flood|mirai-udpplain-flood|mirai-syn-flood|mirai-ack-flood|mirai-udp-flood
dense,mirai_udp,threat_assessment,baby_monitor,0.3333333333333333,1.0,mirai-udp-flood|mirai-udpplain-flood|mirai-scan|mirai-ack-flood|mirai-syn-flood
dense,mirai_udp,threat_assessment,security_camera,0.3333333333333333,1.0,mirai-udp-flood|mirai-udpplain-flood|mirai-ack-flood|mirai-scan|mirai-syn-flood
dense,mirai_udp,threat_assessment,webcam,0.3333333333333333,1.0,mirai-udp-flood|mirai-udpplain-flood|mirai-ack-flood|mirai-scan|mirai-syn-flood
dense,mirai_udp,attack_mechanism,doorbell,0.5,1.0,mirai-udp-flood|mirai-udp-flood|mirai-udpplain-flood|mirai-ack-flood|mirai-syn-flood
dense,mirai_udp,attack_mechanism,thermostat,0.5,1.0,mirai-udp-flood|mirai-udpplain-flood|mirai-udp-flood|mirai-syn-flood|mirai-ack-flood
dense,mirai_udp,attack_mechanism,baby_monitor,0.5,1.0,mirai-udp-flood|mirai-udpplain-flood|mirai-scan|mirai-udp-flood|mirai-ack-flood
dense,mirai_udp,attack_mechanism,security_camera,0.5,1.0,mirai-udp-flood|mirai-udpplain-flood|mirai-udp-flood|mirai-ack-flood|mirai-family-overview
dense,mirai_udp,attack_mechanism,webcam,0.5,1.0,mirai-udp-flood|mirai-udp-flood|mirai-udpplain-flood|mirai-ack-flood|device-security-camera-profile
dense,mirai_udp,observable_indicators,doorbell,0.5,1.0,mirai-udp-flood|mirai-udpplain-flood|mirai-udp-flood|mirai-udpplain-flood|mirai-udp-flood
dense,mirai_udp,observable_indicators,thermostat,0.5,1.0,mirai-udp-flood|mirai-udpplain-flood|mirai-udpplain-flood|mirai-syn-flood|mirai-udp-flood
dense,mirai_udp,observable_indicators,baby_monitor,0.5,1.0,mirai-udp-flood|mirai-udpplain-flood|mirai-udpplain-flood|mirai-ack-flood|mirai-family-overview
dense,mirai_udp,observable_indicators,security_camera,0.5,1.0,mirai-udp-flood|mirai-udpplain-flood|mirai-udpplain-flood|mirai-ack-flood|mirai-family-overview
dense,mirai_udp,observable_indicators,webcam,0.5,1.0,mirai-udp-flood|mirai-udpplain-flood|mirai-udpplain-flood|mirai-udp-flood|mirai-family-overview
dense,mirai_udp,immediate_actions,doorbell,0.0,0.0,mirai-udp-flood|mirai-udp-flood|mirai-udpplain-flood|mirai-ack-flood|mirai-scan
dense,mirai_udp,immediate_actions,thermostat,0.0,0.0,mirai-udp-flood|mirai-udpplain-flood|mirai-udp-flood|mirai-syn-flood|mirai-ack-flood
dense,mirai_udp,immediate_actions,baby_monitor,0.0,0.0,mirai-udp-flood|mirai-udpplain-flood|mirai-scan|mirai-ack-flood|mirai-udp-flood
dense,mirai_udp,immediate_actions,security_camera,0.0,0.0,mirai-udp-flood|mirai-udpplain-flood|mirai-udp-flood|mirai-ack-flood|mirai-udpplain-flood
dense,mirai_udp,immediate_actions,webcam,0.0,0.0,mirai-udp-flood|mirai-udp-flood|mirai-udpplain-flood|mirai-udpplain-flood|device-security-camera-profile
dense,mirai_udp,longer_term_remediation,doorbell,0.25,0.5,mirai-udp-flood|device-doorbell-profile|mirai-udp-flood|mirai-udpplain-flood|mirai-udpplain-flood
dense,mirai_udp,longer_term_remediation,thermostat,0.0,0.0,mirai-udp-flood|mirai-udpplain-flood|mirai-udp-flood|mirai-syn-flood|mirai-family-overview
dense,mirai_udp,longer_term_remediation,baby_monitor,0.0,0.0,mirai-udp-flood|mirai-udpplain-flood|mirai-scan|mirai-family-overview|mirai-udp-flood
dense,mirai_udp,longer_term_remediation,security_camera,0.0,0.0,mirai-udp-flood|mirai-udpplain-flood|mirai-udpplain-flood|mirai-udp-flood|mirai-family-overview
dense,mirai_udp,longer_term_remediation,webcam,0.0,0.0,mirai-udp-flood|mirai-udp-flood|mirai-udpplain-flood|mirai-udpplain-flood|mirai-family-overview
dense,mirai_udpplain,threat_assessment,doorbell,0.3333333333333333,0.5,mirai-udp-flood|mirai-udpplain-flood|mirai-scan|mirai-ack-flood|mirai-syn-flood
dense,mirai_udpplain,threat_assessment,thermostat,0.3333333333333333,0.5,mirai-udp-flood|mirai-udpplain-flood|mirai-syn-flood|mirai-ack-flood|mirai-udp-flood
dense,mirai_udpplain,threat_assessment,baby_monitor,0.3333333333333333,0.5,mirai-udp-flood|mirai-udpplain-flood|mirai-scan|mirai-ack-flood|mirai-syn-flood
dense,mirai_udpplain,threat_assessment,security_camera,0.3333333333333333,0.5,mirai-udp-flood|mirai-udpplain-flood|mirai-ack-flood|mirai-scan|mirai-syn-flood
dense,mirai_udpplain,threat_assessment,webcam,0.3333333333333333,0.5,mirai-udp-flood|mirai-udpplain-flood|mirai-ack-flood|mirai-udpplain-flood|mirai-syn-flood
dense,mirai_udpplain,attack_mechanism,doorbell,0.5,0.3333333333333333,mirai-udp-flood|mirai-udp-flood|mirai-udpplain-flood|mirai-ack-flood|mirai-syn-flood
dense,mirai_udpplain,attack_mechanism,thermostat,0.5,0.5,mirai-udp-flood|mirai-udpplain-flood|mirai-udp-flood|mirai-syn-flood|mirai-ack-flood
dense,mirai_udpplain,attack_mechanism,baby_monitor,0.5,0.5,mirai-udp-flood|mirai-udpplain-flood|mirai-udp-flood|mirai-scan|mirai-ack-flood
dense,mirai_udpplain,attack_mechanism,security_camera,0.5,0.5,mirai-udp-flood|mirai-udpplain-flood|mirai-udp-flood|mirai-ack-flood|mirai-family-overview
dense,mirai_udpplain,attack_mechanism,webcam,0.5,0.5,mirai-udp-flood|mirai-udpplain-flood|mirai-udp-flood|mirai-ack-flood|mirai-family-overview
dense,mirai_udpplain,observable_indicators,doorbell,0.5,0.3333333333333333,mirai-udp-flood|mirai-udp-flood|mirai-udpplain-flood|mirai-udpplain-flood|mirai-ack-flood
dense,mirai_udpplain,observable_indicators,thermostat,0.5,0.5,mirai-udp-flood|mirai-udpplain-flood|mirai-udpplain-flood|mirai-syn-flood|mirai-udp-flood
dense,mirai_udpplain,observable_indicators,baby_monitor,0.5,0.5,mirai-udp-flood|mirai-udpplain-flood|mirai-udpplain-flood|mirai-family-overview|mirai-ack-flood
dense,mirai_udpplain,observable_indicators,security_camera,0.5,0.5,mirai-udp-flood|mirai-udpplain-flood|mirai-udpplain-flood|mirai-family-overview|mirai-ack-flood
dense,mirai_udpplain,observable_indicators,webcam,0.5,1.0,mirai-udpplain-flood|mirai-udp-flood|mirai-udpplain-flood|mirai-udp-flood|mirai-family-overview
dense,mirai_udpplain,immediate_actions,doorbell,0.0,0.0,mirai-udp-flood|mirai-udpplain-flood|mirai-udp-flood|mirai-ack-flood|mirai-scan
dense,mirai_udpplain,immediate_actions,thermostat,0.0,0.0,mirai-udp-flood|mirai-udpplain-flood|mirai-udp-flood|mirai-syn-flood|mirai-ack-flood
dense,mirai_udpplain,immediate_actions,baby_monitor,0.0,0.0,mirai-udp-flood|mirai-udpplain-flood|mirai-scan|mirai-ack-flood|mirai-udp-flood
dense,mirai_udpplain,immediate_actions,security_camera,0.0,0.0,mirai-udp-flood|mirai-udpplain-flood|mirai-udp-flood|mirai-udpplain-flood|mirai-ack-flood
dense,mirai_udpplain,immediate_actions,webcam,0.0,0.0,mirai-udp-flood|mirai-udpplain-flood|mirai-udp-flood|mirai-udpplain-flood|device-security-camera-profile
dense,mirai_udpplain,longer_term_remediation,doorbell,0.25,0.5,mirai-udp-flood|device-doorbell-profile|mirai-udp-flood|mirai-udpplain-flood|mirai-udpplain-flood
dense,mirai_udpplain,longer_term_remediation,thermostat,0.0,0.0,mirai-udp-flood|mirai-udpplain-flood|mirai-udp-flood|mirai-syn-flood|mirai-family-overview
dense,mirai_udpplain,longer_term_remediation,baby_monitor,0.0,0.0,mirai-udp-flood|mirai-udpplain-flood|mirai-scan|mirai-family-overview|mirai-ack-flood
dense,mirai_udpplain,longer_term_remediation,security_camera,0.0,0.0,mirai-udp-flood|mirai-udpplain-flood|mirai-udpplain-flood|mirai-family-overview|mirai-udp-flood
dense,mirai_udpplain,longer_term_remediation,webcam,0.0,0.0,mirai-udp-flood|mirai-udpplain-flood|mirai-udp-flood|mirai-udpplain-flood|mirai-family-overview
dense,mirai_scan,threat_assessment,doorbell,0.6666666666666666,1.0,device-doorbell-profile|mirai-scan|mirai-scan|device-doorbell-profile|mirai-scan
dense,mirai_scan,threat_assessment,thermostat,1.0,1.0,mirai-scan|device-thermostat-profile|mirai-family-overview|mirai-scan|mirai-ack-flood
dense,mirai_scan,threat_assessment,baby_monitor,1.0,1.0,mirai-scan|device-baby-monitor-profile|device-baby-monitor-profile|mirai-scan|mirai-family-overview
dense,mirai_scan,threat_assessment,security_camera,0.6666666666666666,1.0,mirai-scan|device-security-camera-profile|mirai-scan|mirai-ack-flood|mirai-scan
dense,mirai_scan,threat_assessment,webcam,0.6666666666666666,1.0,mirai-scan|device-security-camera-profile|device-webcam-profile|device-webcam-profile|mirai-scan
dense,mirai_scan,attack_mechanism,doorbell,0.3333333333333333,0.5,device-doorbell-profile|mirai-scan|mirai-scan|mirai-scan|device-doorbell-profile
dense,mirai_scan,attack_mechanism,thermostat,0.3333333333333333,1.0,mirai-scan|device-thermostat-profile|mirai-scan|mirai-scan|mirai-family-overview
dense,mirai_scan,attack_mechanism,baby_monitor,0.3333333333333333,0.5,device-baby-monitor-profile|mirai-scan|device-baby-monitor-profile|mirai-scan|mirai-scan
dense,mirai_scan,attack_mechanism,security_camera,0.3333333333333333,1.0,mirai-scan|mirai-scan|mirai-scan|device-security-camera-profile|device-security-camera-profile
dense,mirai_scan,attack_mechanism,webcam,0.3333333333333333,0.5,device-security-camera-profile|mirai-scan|mirai-scan|device-webcam-profile|mirai-scan
dense,mirai_scan,observable_indicators,doorbell,0.5,0.5,device-doorbell-profile|mirai-scan|device-doorbell-profile|mirai-scan|device-doorbell-profile
dense,mirai_scan,observable_indicators,thermostat,0.5,0.5,device-thermostat-profile|mirai-scan|mirai-scan|mirai-scan|mirai-family-overview
dense,mirai_scan,observable_indicators,baby_monitor,0.5,0.3333333333333333,device-baby-monitor-profile|device-baby-monitor-profile|mirai-scan|device-baby-monitor-profile|mirai-scan
dense,mirai_scan,observable_indicators,security_camera,0.5,1.0,mirai-scan|device-security-camera-profile|mirai-scan|mirai-scan|device-security-camera-profile
dense,mirai_scan,observable_indicators,webcam,0.5,0.5,device-security-camera-profile|mirai-scan|device-webcam-profile|mirai-scan|device-webcam-profile
dense,mirai_scan,immediate_actions,doorbell,0.3333333333333333,0.5,mirai-scan|device-doorbell-profile|device-doorbell-profile|mirai-scan|mirai-scan
dense,mirai_scan,immediate_actions,thermostat,0.3333333333333333,0.2,mirai-scan|mirai-scan|mirai-family-overview|mirai-scan|device-thermostat-profile
dense,mirai_scan,immediate_actions,baby_monitor,0.3333333333333333,1.0,device-baby-monitor-profile|device-baby-monitor-profile|mirai-scan|mirai-scan|device-baby-monitor-profile
dense,mirai_scan,immediate_actions,security_camera,0.3333333333333333,0.25,mirai-scan|mirai-scan|mirai-scan|device-security-camera-profile|mirai-family-overview
dense,mirai_scan,immediate_actions,webcam,0.3333333333333333,0.25,mirai-scan|device-security-camera-profile|mirai-scan|device-webcam-profile|mirai-scan
dense,mirai_scan,longer_term_remediation,doorbell,0.25,1.0,device-doorbell-profile|mirai-scan|device-doorbell-profile|mirai-scan|mirai-family-overview
dense,mirai_scan,longer_term_remediation,thermostat,0.0,0.0,mirai-family-overview|mirai-scan|mirai-scan|mirai-scan|iot-immediate-containment
dense,mirai_scan,longer_term_remediation,baby_monitor,0.25,1.0,device-baby-monitor-profile|mirai-scan|mirai-family-overview|device-baby-monitor-profile|mirai-scan
dense,mirai_scan,longer_term_remediation,security_camera,0.25,0.5,mirai-family-overview|device-security-camera-profile|mirai-scan|mirai-scan|device-security-camera-profile
dense,mirai_scan,longer_term_remediation,webcam,0.25,1.0,device-webcam-profile|mirai-family-overview|device-security-camera-profile|mirai-scan|mirai-scan
dense,gafgyt_combo,threat_assessment,doorbell,0.6666666666666666,1.0,device-doorbell-profile|device-doorbell-profile|gafgyt-combo-attack|gafgyt-scan|gafgyt-junk-attack
dense,gafgyt_combo,threat_assessment,thermostat,1.0,1.0,gafgyt-combo-attack|device-thermostat-profile|gafgyt-family-overview|gafgyt-junk-attack|gafgyt-tcp-flood
dense,gafgyt_combo,threat_assessment,baby_monitor,1.0,1.0,gafgyt-combo-attack|device-baby-monitor-profile|device-baby-monitor-profile|gafgyt-scan|gafgyt-family-overview
dense,gafgyt_combo,threat_assessment,security_camera,1.0,1.0,device-security-camera-profile|gafgyt-combo-attack|gafgyt-family-overview|device-security-camera-profile|gafgyt-family-overview
dense,gafgyt_combo,threat_assessment,webcam,1.0,1.0,gafgyt-combo-attack|device-webcam-profile|device-webcam-profile|device-webcam-profile|gafgyt-family-overview
dense,gafgyt_combo,attack_mechanism,doorbell,0.5,0.5,device-doorbell-profile|gafgyt-combo-attack|device-doorbell-profile|gafgyt-family-overview|gafgyt-scan
dense,gafgyt_combo,attack_mechanism,thermostat,0.5,1.0,gafgyt-combo-attack|device-thermostat-profile|gafgyt-family-overview|device-thermostat-profile|finding-no-protocol-field
dense,gafgyt_combo,attack_mechanism,baby_monitor,0.5,1.0,gafgyt-combo-attack|device-baby-monitor-profile|device-baby-monitor-profile|gafgyt-family-overview|device-baby-monitor-profile
dense,gafgyt_combo,attack_mechanism,security_camera,0.5,1.0,gafgyt-combo-attack|device-security-camera-profile|gafgyt-family-overview|device-security-camera-profile|finding-no-protocol-field
dense,gafgyt_combo,attack_mechanism,webcam,0.5,1.0,gafgyt-combo-attack|device-webcam-profile|device-webcam-profile|device-webcam-profile|gafgyt-family-overview
dense,gafgyt_combo,observable_indicators,doorbell,0.5,0.3333333333333333,device-doorbell-profile|device-doorbell-profile|gafgyt-combo-attack|finding-pair-level-assertion|device-doorbell-profile
dense,gafgyt_combo,observable_indicators,thermostat,0.5,0.5,device-thermostat-profile|gafgyt-combo-attack|gafgyt-family-overview|finding-pair-level-assertion|device-thermostat-profile
dense,gafgyt_combo,observable_indicators,baby_monitor,0.5,0.5,device-baby-monitor-profile|gafgyt-combo-attack|device-baby-monitor-profile|device-baby-monitor-profile|finding-pair-level-assertion
dense,gafgyt_combo,observable_indicators,security_camera,0.5,0.5,device-security-camera-profile|gafgyt-combo-attack|gafgyt-family-overview|finding-pair-level-assertion|device-security-camera-profile
dense,gafgyt_combo,observable_indicators,webcam,0.5,1.0,gafgyt-combo-attack|device-webcam-profile|device-webcam-profile|device-webcam-profile|gafgyt-family-overview
dense,gafgyt_combo,immediate_actions,doorbell,0.5,1.0,device-doorbell-profile|device-doorbell-profile|gafgyt-combo-attack|gafgyt-family-overview|finding-pair-level-assertion
dense,gafgyt_combo,immediate_actions,thermostat,1.0,0.5,gafgyt-combo-attack|device-thermostat-profile|gafgyt-family-overview|device-thermostat-profile|iot-immediate-containment
dense,gafgyt_combo,immediate_actions,baby_monitor,0.5,0.5,gafgyt-combo-attack|device-baby-monitor-profile|device-baby-monitor-profile|device-baby-monitor-profile|gafgyt-family-overview
dense,gafgyt_combo,immediate_actions,security_camera,0.5,0.5,gafgyt-combo-attack|device-security-camera-profile|gafgyt-family-overview|device-security-camera-profile|device-webcam-profile
dense,gafgyt_combo,immediate_actions,webcam,0.5,1.0,device-webcam-profile|gafgyt-combo-attack|device-webcam-profile|device-webcam-profile|gafgyt-family-overview
dense,gafgyt_combo,longer_term_remediation,doorbell,0.25,1.0,device-doorbell-profile|device-doorbell-profile|gafgyt-combo-attack|gafgyt-family-overview|gafgyt-junk-attack
dense,gafgyt_combo,longer_term_remediation,thermostat,0.25,0.3333333333333333,gafgyt-combo-attack|iot-immediate-containment|device-thermostat-profile|device-thermostat-profile|gafgyt-family-overview
dense,gafgyt_combo,longer_term_remediation,baby_monitor,0.25,1.0,device-baby-monitor-profile|gafgyt-combo-attack|device-baby-monitor-profile|device-baby-monitor-profile|gafgyt-family-overview
dense,gafgyt_combo,longer_term_remediation,security_camera,0.25,1.0,device-security-camera-profile|device-webcam-profile|gafgyt-combo-attack|device-security-camera-profile|gafgyt-family-overview
dense,gafgyt_combo,longer_term_remediation,webcam,0.25,1.0,device-webcam-profile|device-webcam-profile|gafgyt-combo-attack|device-webcam-profile|device-security-camera-profile
dense,gafgyt_junk,threat_assessment,doorbell,0.6666666666666666,1.0,device-doorbell-profile|device-doorbell-profile|gafgyt-junk-attack|gafgyt-scan|gafgyt-combo-attack
dense,gafgyt_junk,threat_assessment,thermostat,1.0,1.0,gafgyt-junk-attack|device-thermostat-profile|gafgyt-combo-attack|gafgyt-family-overview|gafgyt-family-overview
dense,gafgyt_junk,threat_assessment,baby_monitor,0.6666666666666666,1.0,device-baby-monitor-profile|device-baby-monitor-profile|gafgyt-junk-attack|gafgyt-combo-attack|device-baby-monitor-profile
dense,gafgyt_junk,threat_assessment,security_camera,1.0,1.0,device-security-camera-profile|gafgyt-junk-attack|device-security-camera-profile|gafgyt-combo-attack|gafgyt-family-overview
dense,gafgyt_junk,threat_assessment,webcam,0.6666666666666666,1.0,device-webcam-profile|device-webcam-profile|device-webcam-profile|gafgyt-combo-attack|gafgyt-junk-attack
dense,gafgyt_junk,attack_mechanism,doorbell,0.5,0.3333333333333333,device-doorbell-profile|device-doorbell-profile|gafgyt-junk-attack|gafgyt-combo-attack|gafgyt-family-overview
dense,gafgyt_junk,attack_mechanism,thermostat,0.5,0.3333333333333333,gafgyt-combo-attack|device-thermostat-profile|gafgyt-junk-attack|gafgyt-family-overview|iot-immediate-containment
dense,gafgyt_junk,attack_mechanism,baby_monitor,0.5,0.2,device-baby-monitor-profile|device-baby-monitor-profile|gafgyt-combo-attack|device-baby-monitor-profile|gafgyt-junk-attack
dense,gafgyt_junk,attack_mechanism,security_camera,0.5,0.25,gafgyt-combo-attack|gafgyt-family-overview|device-security-camera-profile|gafgyt-junk-attack|gafgyt-junk-attack
dense,gafgyt_junk,attack_mechanism,webcam,0.0,0.0,gafgyt-combo-attack|device-webcam-profile|device-webcam-profile|device-webcam-profile|gafgyt-family-overview
dense,gafgyt_junk,observable_indicators,doorbell,0.5,0.3333333333333333,device-doorbell-profile|device-doorbell-profile|gafgyt-junk-attack|device-doorbell-profile|gafgyt-scan
dense,gafgyt_junk,observable_indicators,thermostat,0.5,0.5,device-thermostat-profile|gafgyt-junk-attack|gafgyt-combo-attack|gafgyt-family-overview|iot-immediate-containment
dense,gafgyt_junk,observable_indicators,baby_monitor,0.5,0.25,device-baby-monitor-profile|device-baby-monitor-profile|device-baby-monitor-profile|gafgyt-junk-attack|gafgyt-combo-attack
dense,gafgyt_junk,observable_indicators,security_camera,0.5,0.5,device-security-camera-profile|gafgyt-junk-attack|gafgyt-combo-attack|device-security-camera-profile|gafgyt-family-overview
dense,gafgyt_junk,observable_indicators,webcam,0.5,0.25,device-webcam-profile|device-webcam-profile|gafgyt-combo-attack|gafgyt-junk-attack|device-webcam-profile
dense,gafgyt_junk,immediate_actions,doorbell,0.5,1.0,device-doorbell-profile|device-doorbell-profile|gafgyt-junk-attack|gafgyt-combo-attack|gafgyt-scan
dense,gafgyt_junk,immediate_actions,thermostat,1.0,0.3333333333333333,gafgyt-junk-attack|gafgyt-combo-attack|device-thermostat-profile|iot-immediate-containment|device-thermostat-profile
dense,gafgyt_junk,immediate_actions,baby_monitor,0.5,1.0,device-baby-monitor-profile|device-baby-monitor-profile|device-baby-monitor-profile|gafgyt-combo-attack|gafgyt-junk-attack
