device_name,class,support,recall
Provision_PT_838_Security_Camera,gafgyt_scan,1025,1.0
Provision_PT_838_Security_Camera,gafgyt_tcp,1008,1.0
Provision_PT_838_Security_Camera,gafgyt_udp,1038,0.0019267822736030828
Provision_PT_838_Security_Camera,mirai_ack,999,1.0
Provision_PT_838_Security_Camera,mirai_scan,1015,1.0
Provision_PT_838_Security_Camera,mirai_syn,1031,1.0
Provision_PT_838_Security_Camera,mirai_udp,1019,1.0
Provision_PT_838_Security_Camera,mirai_udpplain,991,1.0
Samsung_SNH_1011_N_Webcam,benign,954,1.0
Samsung_SNH_1011_N_Webcam,gafgyt_combo,991,1.0
Samsung_SNH_1011_N_Webcam,gafgyt_junk,950,0.9989473684210526
Samsung_SNH_1011_N_Webcam,gafgyt_scan,981,1.0
Samsung_SNH_1011_N_Webcam,gafgyt_tcp,979,1.0
Samsung_SNH_1011_N_Webcam,gafgyt_udp,983,0.0
SimpleHome_XCS7_1002_WHT_Security_Camera,benign,994,1.0
SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt_combo,983,1.0
SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt_junk,1052,1.0
SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt_scan,987,1.0
SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt_tcp,1026,0.003898635477582846
SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt_udp,944,0.9989406779661016
SimpleHome_XCS7_1002_WHT_Security_Camera,mirai_ack,1040,1.0
SimpleHome_XCS7_1002_WHT_Security_Camera,mirai_scan,974,1.0
SimpleHome_XCS7_1002_WHT_Security_Camera,mirai_syn,1010,1.0
SimpleHome_XCS7_1002_WHT_Security_Camera,mirai_udp,982,1.0
SimpleHome_XCS7_1002_WHT_Security_Camera,mirai_udpplain,1023,1.0
SimpleHome_XCS7_1003_WHT_Security_Camera,benign,952,0.9989495798319328
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_combo,977,1.0
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_junk,1021,1.0
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_scan,1020,1.0
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_tcp,960,1.0
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_udp,1024,0.001953125
SimpleHome_XCS7_1003_WHT_Security_Camera,mirai_ack,1006,1.0
SimpleHome_XCS7_1003_WHT_Security_Camera,mirai_scan,967,1.0
SimpleHome_XCS7_1003_WHT_Security_Camera,mirai_syn,952,1.0
SimpleHome_XCS7_1003_WHT_Security_Camera,mirai_udp,1018,1.0
SimpleHome_XCS7_1003_WHT_Security_Camera,mirai_udpplain,1022,1.0
